GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement Cov,Branch Cov,CC
JFreeChart,org.jfree.data.xy,XIntervalSeriesCollection,166,94,7,9,36,27,18,10,13,7,,0.361538462,0.5625,28
JFreeChart,org.jfree.data.xy,VectorDataItem,24,29,3,1,8,7,5,3,3,3,,0.547169811,0.25,8
JFreeChart,org.jfree.data.xy,YWithXInterval,4,56,2,8,2,18,2,8,0,5,,0.933333333,0.8,10
JFreeChart,org.jfree.data.xy,YInterval,4,56,2,8,2,18,2,8,0,5,,0.933333333,0.8,10
JFreeChart,org.jfree.data.xy,XYIntervalSeriesCollection,96,180,7,11,19,44,12,19,7,15,,0.652173913,0.611111111,31
JFreeChart,org.jfree.data.xy,YIntervalSeriesCollection,94,150,6,10,21,38,11,17,7,13,,0.614754098,0.625,28
JFreeChart,org.jfree.data.xy,OHLCDataItem,24,105,6,10,9,26,9,8,3,6,,0.813953488,0.625,17
JFreeChart,org.jfree.data.xy,NormalizedMatrixSeries,72,0,0,0,19,0,6,0,6,0,,0,#DIV/0!,6
JFreeChart,org.jfree.data.xy,YIntervalDataItem,6,44,3,3,3,12,3,5,0,5,,0.88,0.5,8
JFreeChart,org.jfree.data.xy,XYSeriesCollection,103,602,20,70,30,162,17,65,3,34,,0.853900709,0.777777778,82
JFreeChart,org.jfree.data.xy,AbstractIntervalXYDataset,0,59,2,6,0,21,2,7,0,5,,1,0.75,9
JFreeChart,org.jfree.data.xy,XYSeries,114,889,23,101,28,228,26,81,5,40,,0.886340977,0.814516129,107
JFreeChart,org.jfree.data.statistics,HistogramType,5,43,0,0,0,4,1,3,1,3,,0.895833333,#DIV/0!,4
JFreeChart,org.jfree.data.statistics,DefaultMultiValueCategoryDataset,100,275,22,26,29,70,23,20,8,11,,0.733333333,0.541666667,43
JFreeChart,org.jfree.data.statistics,BoxAndWhiskerCalculator,35,261,12,22,8,61,9,13,1,4,,0.881756757,0.647058824,22
JFreeChart,org.jfree.data.statistics,DefaultBoxAndWhiskerXYDataset,67,318,18,24,18,95,23,25,6,21,,0.825974026,0.571428571,48
JFreeChart,org.jfree.data.statistics,MeanAndStandardDeviation,19,77,3,9,2,25,4,10,1,7,,0.802083333,0.75,14
JFreeChart,org.jfree.data.statistics,Statistics,276,396,25,43,50,98,19,29,4,10,,0.589285714,0.632352941,48
JFreeChart,org.jfree.data.statistics,SimpleHistogramBin,29,197,11,39,9,54,9,27,0,11,,0.871681416,0.78,36
JFreeChart,org.jfree.data.statistics,DefaultStatisticalCategoryDataset,65,652,21,91,25,167,26,59,7,22,,0.909344491,0.8125,85
JFreeChart,org.jfree.data.statistics,DefaultBoxAndWhiskerCategoryDataset,117,598,36,54,42,170,42,47,10,34,,0.836363636,0.6,89
JFreeChart,org.jfree.data.statistics,HistogramBin,21,81,10,10,5,20,11,7,1,7,,0.794117647,0.5,18
JFreeChart,org.jfree.data.statistics,SimpleHistogramDataset,157,180,13,17,35,52,29,13,17,10,,0.534124629,0.566666667,42
JFreeChart,org.jfree.data.statistics,HistogramDataset,102,407,13,33,23,86,17,27,6,15,,0.799607073,0.717391304,44
